"","X","Дата","Область","Округ","Населённый_пункт","Тип","Район","Улица","Дом","lonlat","yandex_adress"
"261",2097,"08.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"улица Мира","1Б","38.178013   56.298797","Россия, Московская область, Сергиев Посад, улица Мира, 1Б"
"262",2098,"08.04.2020","Москoвская Область","Красногорск","Красногорск","город","микрорайон Тёплый Бетон","Школьная улица","8","37.333462   55.82091","Россия, Московская область, Красногорск, микрорайон Тёплый Бетон, Школьная улица, 8"
"263",2099,"08.04.2020","Москoвская Область","городской округ Красногорск","посёлок Отрадное","посёлок",NA,NA,"11","37.31219   55.872996","Россия, Московская область, городской округ Красногорск, посёлок Отрадное, 11"
"264",2100,"08.04.2020","Москoвская Область",NA,"Пушкино","город",NA,"улица 50 лет Комсомола","41","37.853874   56.000945","Россия, Московская область, Пушкино, улица 50 лет Комсомола, 41"
"265",2101,"08.04.2020","Москoвская Область","городской округ Шатура","деревня Андреевские Выселки","деревня",NA,NA,NA,"39.524139   55.63189","Россия, Московская область, городской округ Шатура, деревня Андреевские Выселки"
"266",2102,"08.04.2020","Москoвская Область","городской округ Клин","рабочий посёлок Решетниково","посёлок",NA,"Лесная улица","16","36.55562   56.438915","Россия, Московская область, городской округ Клин, рабочий посёлок Решетниково, Лесная улица, 16"
"267",2103,"08.04.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,"Набережная улица","23к1","37.522243   55.962569","Россия, Московская область, Долгопрудный, Набережная улица, 23к1"
"268",2104,"08.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица Вилора Трифонова","1","37.284621   55.83432","Россия, Московская область, Красногорск, улица Вилора Трифонова, 1"
"269",2105,"08.04.2020","Москoвская Область","городской округ Истра","деревня Вельяминово","деревня",NA,NA,"66","36.864425   55.887236","Россия, Московская область, городской округ Истра, деревня Вельяминово, 66"
"270",2106,"08.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица Ленина","42","37.296281   55.835083","Россия, Московская область, Красногорск, улица Ленина, 42"
"271",2107,"08.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"улица Ленина","55","37.298706   55.835346","Россия, Московская область, Красногорск, улица Ленина, 55"
"272",2108,"08.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Ольгино","Пятая улица","26","37.987067   55.741657","Россия, Московская область, Балашиха, микрорайон Ольгино, Пятая улица, 26"
"273",2109,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Олимпийский проспект","28к1","37.760108   55.922772","Россия, Московская область, Мытищи, Олимпийский проспект, 28к1"
"274",2110,"08.04.2020","Москoвская Область","городской округ Подольск","коттеджный поселок Быковка","село",NA,NA,"8","37.620168   55.487346","Россия, Московская область, городской округ Подольск, коттеджный поселок Быковка, 8"
"275",2111,"08.04.2020","Москoвская Область","городской округ Серпухов","посёлок Большевик","посёлок",NA,"улица Ленина","18","37.363448   54.905467","Россия, Московская область, городской округ Серпухов, посёлок Большевик, улица Ленина, 18"
"276",2112,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Академика Каргина","40к4","37.78704   55.916582","Россия, Московская область, Мытищи, улица Академика Каргина, 40к4"
"277",2113,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Новомытищинский проспект","42","37.732395   55.908676","Россия, Московская область, Мытищи, Новомытищинский проспект, 42"
"278",2114,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Чапаева","5","37.448141   55.888947","Россия, Московская область, Химки, улица Чапаева, 5"
"279",2115,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"Тепличный проезд","4","37.327659   55.954843","Россия, Московская область, Химки, Тепличный проезд, 4"
"280",2116,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"проспект Мельникова","37","37.394844   55.908454","Россия, Московская область, Химки, проспект Мельникова, 37"
"281",2117,"08.04.2020","Москoвская Область","Сергиево-Посадский городской округ","Хотьково","город",NA,"1-я улица Митино","7","37.985127   56.254522","Россия, Московская область, Сергиево-Посадский городской округ, Хотьково, 1-я улица Митино, 7"
"282",2118,"08.04.2020","Москoвская Область","Одинцово","Одинцово","город",NA,"Союзная улица","4","37.284414   55.669625","Россия, Московская область, Одинцово, Союзная улица, 4"
"283",2119,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Бабакина","4","37.423141   55.881934","Россия, Московская область, Химки, улица Бабакина, 4"
"284",2120,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"Московская улица","16","37.449237   55.893637","Россия, Московская область, Химки, Московская улица, 16"
"285",2121,"08.04.2020","Москoвская Область","Реутов","Реутов","город",NA,"Юбилейный проспект","1","37.850101   55.746106","Россия, Московская область, Реутов, Юбилейный проспект, 1"
"286",2122,"08.04.2020","Москoвская Область","Реутов","Реутов","город",NA,"улица Калинина","10","37.85771   55.754557","Россия, Московская область, Реутов, улица Калинина, 10"
"287",2123,"08.04.2020","Москoвская Область","городской округ Мытищи","деревня Никульское","деревня",NA,"Московская улица","6","37.677966   56.018484","Россия, Московская область, городской округ Мытищи, деревня Никульское, Московская улица, 6"
"288",2124,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Борисовка","20А","37.713432   55.91688","Россия, Московская область, Мытищи, улица Борисовка, 20А"
"289",2125,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Новомытищинский проспект","82к1","37.721939   55.9014","Россия, Московская область, Мытищи, Новомытищинский проспект, 82к1"
"290",2126,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Юннатов","10","37.460691   55.896625","Россия, Московская область, Химки, улица Юннатов, 10"
"291",2127,"08.04.2020","Москoвская Область","городской округ Подольск","деревня Федюково","деревня",NA,"улица Строителей","17","37.686087   55.515507","Россия, Московская область, городской округ Подольск, деревня Федюково, улица Строителей, 17"
"292",2128,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"Спортивная улица","13","37.337927   55.937709","Россия, Московская область, Химки, Спортивная улица, 13"
"293",2129,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"улица Строителей","8","37.411562   55.886307","Россия, Московская область, Химки, улица Строителей, 8"
"294",2130,"08.04.2020","Москoвская Область","Химки","Химки","город","микрорайон Левобережный","Совхозная улица","15","37.474435   55.899012","Россия, Московская область, Химки, микрорайон Левобережный, Совхозная улица, 15"
"295",2131,"08.04.2020","Москoвская Область","Химки","Химки","город","микрорайон Фирсановка","Ленинградская улица","17","37.263753   55.96404","Россия, Московская область, Химки, микрорайон Фирсановка, Ленинградская улица, 17"
"296",2132,"08.04.2020","Москoвская Область","Химки","Химки","город",NA,"Пролетарская улица","5А","37.441053   55.890219","Россия, Московская область, Химки, Пролетарская улица, 5А"
"297",2133,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Борисовка","24А","37.713944   55.91804","Россия, Московская область, Мытищи, улица Борисовка, 24А"
"298",2134,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Сукромка","5","37.715938   55.90253","Россия, Московская область, Мытищи, улица Сукромка, 5"
"299",2135,"08.04.2020","Москoвская Область","Фрязино","Фрязино","город",NA,"Институтская улица","17","38.049213   55.95445","Россия, Московская область, Фрязино, Институтская улица, 17"
"300",2136,"08.04.2020","Москoвская Область",NA,"Пушкино","город",NA,"улица Горького","4А","37.843741   56.006784","Россия, Московская область, Пушкино, улица Горького, 4А"
"301",2137,"08.04.2020","Москoвская Область","городской округ Мытищи","деревня Жостово","деревня",NA,"Центральная улица","3","37.645043   55.999662","Россия, Московская область, городской округ Мытищи, деревня Жостово, Центральная улица, 3"
"302",2138,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"Троицкая улица","11","37.699094   55.903277","Россия, Московская область, Мытищи, Троицкая улица, 11"
"303",2139,"08.04.2020","Москoвская Область","Лобня","Лобня","город",NA,"Краснополянская улица","31","37.418982   56.023032","Россия, Московская область, Лобня, Краснополянская улица, 31"
"304",2140,"08.04.2020","Москoвская Область","Лобня","Лобня","город",NA,NA,NA,"37.474821   56.012269","Россия, Московская область, Лобня"
"305",2142,"08.04.2020","Москoвская Область","Красногорск","Красногорск","город","микрорайон Опалиха","улица Чкалова","7","37.254967   55.822635","Россия, Московская область, Красногорск, микрорайон Опалиха, улица Чкалова, 7"
"306",2143,"08.04.2020","Москoвская Область","Королёв","Королёв","город",NA,"Калининградская улица","17к1","37.841756   55.913354","Россия, Московская область, Королёв, Калининградская улица, 17к1"
"307",2144,"08.04.2020","Москoвская Область","Клин","Клин","город",NA,"улица 50 лет Октября","25","36.728618   56.314557","Россия, Московская область, Клин, улица 50 лет Октября, 25"
"308",2145,"08.04.2020","Москoвская Область","городской округ Истра","Дедовск","город",NA,"Главная улица","1","37.122493   55.864859","Россия, Московская область, городской округ Истра, Дедовск, Главная улица, 1"
"309",2146,"08.04.2020","Москoвская Область","Ивантеевка","Ивантеевка","город",NA,"Хлебозаводская улица","10","37.932549   55.972282","Россия, Московская область, Ивантеевка, Хлебозаводская улица, 10"
"310",2147,"08.04.2020","Москoвская Область","Ивантеевка","Ивантеевка","город",NA,"Хлебозаводская улица","28к1","37.935253   55.972378","Россия, Московская область, Ивантеевка, Хлебозаводская улица, 28к1"
"311",2148,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"3-я Крестьянская улица","5","37.718723   55.896766","Россия, Московская область, Мытищи, 3-я Крестьянская улица, 5"
"312",2149,"08.04.2020","Москoвская Область",NA,"Раменское","город",NA,"Москворецкая улица","3","38.221097   55.564618","Россия, Московская область, Раменское, Москворецкая улица, 3"
"313",2150,"08.04.2020","Москoвская Область","городской округ Истра","посёлок Глебовский","посёлок",NA,NA,NA,"36.707139   55.942146","Россия, Московская область, городской округ Истра, посёлок Глебовский"
"314",2151,"08.04.2020","Москoвская Область","Дубна","Дубна","город",NA,"улица Понтекорво","15","37.17022   56.737589","Россия, Московская область, Дубна, улица Понтекорво, 15"
"315",2152,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Городок Б","улица 3-е Почтовое Отделение","69","37.866945   55.683336","Россия, Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 69"
"316",2153,"08.04.2020","Москoвская Область","Долгопрудный","Долгопрудный","город",NA,"Новый бульвар","18","37.496084   55.938743","Россия, Московская область, Долгопрудный, Новый бульвар, 18"
"317",2154,"08.04.2020","Москoвская Область","Лобня","Лобня","город",NA,"Текстильная улица","8","37.427956   56.020481","Россия, Московская область, Лобня, Текстильная улица, 8"
"318",2156,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Кирова","45к2","37.882773   55.681295","Россия, Московская область, Люберцы, улица Кирова, 45к2"
"319",2157,"08.04.2020","Москoвская Область","Котельники","Котельники","город",NA,"Кузьминская улица","17","37.860612   55.666888","Россия, Московская область, Котельники, Кузьминская улица, 17"
"320",2158,"08.04.2020","Москoвская Область",NA,"Дзержинский","город",NA,"улица Ленина","12","37.844056   55.634359","Россия, Московская область, Дзержинский, улица Ленина, 12"
"321",2159,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Камова","11/5","37.958357   55.699812","Россия, Московская область, Люберцы, улица Камова, 11/5"
"322",2160,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Гагарина","22к1","37.914537   55.690501","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1"
"323",2161,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Кирова","12","37.886214   55.678209","Россия, Московская область, Люберцы, улица Кирова, 12"
"324",2162,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Митрофанова","22к2","37.891271   55.694784","Россия, Московская область, Люберцы, улица Митрофанова, 22к2"
"325",2163,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"Весенняя улица","16","37.904315   55.701379","Россия, Московская область, Люберцы, Весенняя улица, 16"
"326",2164,"08.04.2020","Москoвская Область",NA,"Дзержинский","город",NA,"Дзержинская улица","12","37.844244   55.622655","Россия, Московская область, Дзержинский, Дзержинская улица, 12"
"327",2165,"08.04.2020","Москoвская Область",NA,"Дзержинский","город",NA,"Лесная улица","11","37.858527   55.630589","Россия, Московская область, Дзержинский, Лесная улица, 11"
"328",2166,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Гагарина","22к3","37.91734   55.688761","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к3"
"329",2167,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"улица Шевлякова","2/24","37.885971   55.701227","Россия, Московская область, Люберцы, улица Шевлякова, 2/24"
"330",2168,"08.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Томилино","посёлок",NA,"улица Гаршина","9Ак4","37.958483   55.663618","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 9Ак4"
"331",2169,"08.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Октябрьский","посёлок",NA,"Спортивная улица","2","37.969218   55.610234","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, Спортивная улица, 2"
"332",2170,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Победы","10/18","37.912202   55.688862","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Победы, 10/18"
"333",2171,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"Комсомольский проспект","18/1","37.908402   55.692125","Россия, Московская область, Люберцы, Комсомольский проспект, 18/1"
"334",2172,"08.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Томилино","посёлок",NA,"улица Гаршина","20А","37.94826   55.662633","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 20А"
"335",2173,"08.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Гагарина","22к1","37.914537   55.690501","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1"
"336",2174,"08.04.2020","Москoвская Область","Ленинский городской округ","посёлок Володарского","посёлок",NA,"Центральная улица","25к1","37.943948   55.501253","Россия, Московская область, Ленинский городской округ, посёлок Володарского, Центральная улица, 25к1"
"337",2175,"08.04.2020","Москoвская Область","Подольск","Подольск","город",NA,"улица 43-й Армии","17","37.492356   55.421808","Россия, Московская область, Подольск, улица 43-й Армии, 17"
"338",2176,"08.04.2020","Москoвская Область",NA,"Раменское","город",NA,"Красноармейская улица","27А","38.244192   55.573083","Россия, Московская область, Раменское, Красноармейская улица, 27А"
"339",2177,"08.04.2020","Москoвская Область","Мытищи","Мытищи","город",NA,"улица Герцена","1к3","37.74525   55.887261","Россия, Московская область, Мытищи, улица Герцена, 1к3"
"340",2178,"08.04.2020","Москoвская Область","Подольск","Подольск","город","микрорайон Кузнечики","улица Генерала Варенникова","2","37.489284   55.418962","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Генерала Варенникова, 2"
"341",2179,"08.04.2020","Москoвская Область","Подольск","Подольск","город","микрорайон Кузнечики","Армейский проезд","7","37.477768   55.422181","Россия, Московская область, Подольск, микрорайон Кузнечики, Армейский проезд, 7"
"342",2180,"08.04.2020","Москoвская Область","Подольск","Подольск","город","микрорайон Кузнечики","улица Академика Доллежаля","32","37.479151   55.416203","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 32"
"343",2181,"08.04.2020","Москoвская Область","Домодедово","Домодедово","город","микрорайон Северный","Северная улица","4","37.743786   55.452605","Россия, Московская область, Домодедово, микрорайон Северный, Северная улица, 4"
"344",2182,"08.04.2020","Москoвская Область","Павловский Посад","Павловский Посад","город",NA,"улица Фрунзе","25","38.656115   55.76919","Россия, Московская область, Павловский Посад, улица Фрунзе, 25"
"345",2183,"08.04.2020","Москoвская Область","Подольск","Подольск","город",NA,"улица Пантелеева","4","37.559478   55.433593","Россия, Московская область, Подольск, улица Пантелеева, 4"
"346",2184,"08.04.2020","Москoвская Область","Ленинский городской округ","рабочий посёлок Дрожжино","посёлок",NA,"Новое шоссе","8","37.592213   55.525532","Россия, Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 8"
"347",2185,"08.04.2020","Москoвская Область","Ленинский городской округ","деревня Мисайлово","деревня",NA,"Литературный бульвар","5","37.812246   55.558921","Россия, Московская область, Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 5"
"348",2186,"08.04.2020","Москoвская Область","городской округ Подольск","посёлок Дубровицы","посёлок",NA,NA,"19","37.488062   55.442286","Россия, Московская область, городской округ Подольск, посёлок Дубровицы, 19"
"349",2187,"08.04.2020","Москoвская Область","Руза","Руза","город",NA,"Лесная улица","2А","36.171725   55.710849","Россия, Московская область, Руза, Лесная улица, 2А"
"350",2188,"08.04.2020","Москoвская Область","Рузский городской округ","посёлок Дорохово","посёлок",NA,"Спортивный переулок","24","36.366614   55.556222","Россия, Московская область, Рузский городской округ, посёлок Дорохово, Спортивный переулок, 24"
"351",2189,"08.04.2020","Москoвская Область","Ленинский городской округ","деревня Мисайлово","деревня",NA,NA,NA,"37.82555   55.563992","Россия, Московская область, Ленинский городской округ, деревня Мисайлово"
"352",2190,"08.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"улица Чайковского","11","38.148989   56.329582","Россия, Московская область, Сергиев Посад, улица Чайковского, 11"
"353",2191,"08.04.2020","Москoвская Область","Сергиево-Посадский городской округ","рабочий посёлок Скоропусковский","посёлок",NA,NA,"8А","38.142054   56.3701","Россия, Московская область, Сергиево-Посадский городской округ, рабочий посёлок Скоропусковский, 8А"
"354",2192,"08.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"Владимирская улица","7","38.133268   56.335795","Россия, Московская область, Сергиев Посад, Владимирская улица, 7"
"355",2193,"08.04.2020","Москoвская Область","Сергиево-Посадский городской округ","посёлок Загорские Дали","посёлок",NA,NA,"1","37.996086   56.39597","Россия, Московская область, Сергиево-Посадский городской округ, посёлок Загорские Дали, 1"
"356",2194,"08.04.2020","Москoвская Область",NA,"Наро-Фоминск","город",NA,"Латышская улица","15","36.732121   55.374304","Россия, Московская область, Наро-Фоминск, Латышская улица, 15"
"357",2195,"08.04.2020","Москoвская Область","Одинцовский городской округ","дачный посёлок Лесной Городок","посёлок",NA,"Фасадная улица","1А","37.21422   55.633978","Россия, Московская область, Одинцовский городской округ, дачный посёлок Лесной Городок, Фасадная улица, 1А"
"358",2196,"08.04.2020","Москoвская Область","Наро-Фоминский городской округ","рабочий посёлок Калининец","посёлок",NA,NA,"256","36.974163   55.553075","Россия, Московская область, Наро-Фоминский городской округ, рабочий посёлок Калининец, 256"
"359",2197,"08.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"Лесная улица","3","38.149698   56.310557","Россия, Московская область, Сергиев Посад, посёлок Красюковка, Лесная улица, 3"
"360",2198,"08.04.2020","Москoвская Область",NA,"Сергиево-Посадский городской округ","город",NA,NA,NA,"38.093087   56.458328","Россия, Московская область, Сергиево-Посадский городской округ"
"361",2199,"08.04.2020","Москoвская Область","Ленинский городской округ","Видное","город",NA,"Хуторская улица","13","37.681658   55.535906","Россия, Московская область, Ленинский городской округ, Видное, Хуторская улица, 13"
"362",2200,"08.04.2020","Москoвская Область","Ленинский городской округ","рабочий посёлок Бутово","посёлок",NA,"жилой комплекс Бутово Парк","1","37.58782   55.549689","Россия, Московская область, Ленинский городской округ, рабочий посёлок Бутово, жилой комплекс Бутово Парк, 1"
"363",2201,"08.04.2020","Москoвская Область","Подольск","Подольск","город",NA,"Пионерская улица","15к1","37.536958   55.413044","Россия, Московская область, Подольск, Пионерская улица, 15к1"
"364",2202,"08.04.2020","Москoвская Область",NA,"Сергиев Посад","город",NA,"Лесная улица","3","38.149698   56.310557","Россия, Московская область, Сергиев Посад, посёлок Красюковка, Лесная улица, 3"
"365",2203,"08.04.2020","Москoвская Область","Протвино","Протвино","город",NA,"Лесной бульвар","1","37.213546   54.875061","Россия, Московская область, Протвино, Лесной бульвар, 1"
"366",2204,"08.04.2020","Москoвская Область","Дмитровский городской округ","Дмитров","город",NA,"Сосновая улица","1","37.525118   56.316254","Россия, Московская область, Дмитровский городской округ, Дмитров, Сосновая улица, 1"
"367",2205,"08.04.2020","Москoвская Область","Дмитровский городской округ","посёлок городского типа Деденево","посёлок",NA,"Школьная улица","3","37.520968   56.239373","Россия, Московская область, Дмитровский городской округ, посёлок городского типа Деденево, Школьная улица, 3"
"368",2206,"08.04.2020","Москoвская Область","Солнечногорск","Солнечногорск","город",NA,NA,NA,"36.977631   56.185102","Россия, Московская область, Солнечногорск"
"369",2736,"09.04.2020","Москoвская Область","Балашиха","Балашиха","город",NA,"Балашихинское шоссе","16","37.929809   55.823065","Россия, Московская область, Балашиха, Балашихинское шоссе, 16"
"370",2738,"09.04.2020","Москoвская Область","городской округ Воскресенск","рабочий посёлок Хорлово","посёлок",NA,"Интернатская улица","4","38.809259   55.329001","Россия, Московская область, городской округ Воскресенск, рабочий посёлок Хорлово, Интернатская улица, 4"
"371",2739,"09.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон 1 Мая",NA,"25","37.844747   55.805882","Россия, Московская область, Балашиха, микрорайон 1 Мая, 25"
"372",2740,"09.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Железнодорожный","улица Пушкина","6","38.028803   55.747333","Россия, Московская область, Балашиха, микрорайон Железнодорожный, улица Пушкина, 6"
"373",2741,"09.04.2020","Москoвская Область","Ленинский городской округ","Видное","город",NA,"Битцевский проезд","15","37.708859   55.541998","Россия, Московская область, Ленинский городской округ, Видное, Битцевский проезд, 15"
"374",2742,"09.04.2020","Москoвская Область","Воскресенск","Воскресенск","город","микрорайон Цемгигант","улица Карла Маркса","16А","38.759421   55.250115","Россия, Московская область, Воскресенск, микрорайон Цемгигант, улица Карла Маркса, 16А"
"375",2743,"09.04.2020","Москoвская Область",NA,"Дзержинский","город",NA,"Лесная улица","11","37.858527   55.630589","Россия, Московская область, Дзержинский, Лесная улица, 11"
"376",2744,"09.04.2020","Москoвская Область","Дмитровский городской округ","Дмитров","город","микрорайон имени В.Н. Махалина",NA,"40","37.538116   56.361654","Россия, Московская область, Дмитровский городской округ, Дмитров, микрорайон имени В.Н. Махалина, 40"
"377",2745,"09.04.2020","Москoвская Область","Королёв","Королёв","город","микрорайон Первомайский",NA,"улица Ватутина","37.91231   55.946935","Россия, Московская область, Королёв, микрорайон Первомайский, улица Ватутина"
"378",2746,"09.04.2020","Москoвская Область","Котельники","Котельники","город",NA,"3-й Покровский проезд","2","37.862543   55.668178","Россия, Московская область, Котельники, 3-й Покровский проезд, 2"
"379",2747,"09.04.2020","Москoвская Область","Котельники","Котельники","город",NA,"улица Строителей","1","37.859102   55.667757","Россия, Московская область, Котельники, улица Строителей, 1"
"380",2749,"09.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Октябрьский","посёлок",NA,NA,"улица Ленина","37.972344   55.61296","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина"
"381",2750,"09.04.2020","Москoвская Область","Люберцы","Люберцы","город","микрорайон Красная Горка","проспект Победы","16к3","37.913154   55.685883","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Победы, 16к3"
"382",2751,"09.04.2020","Москoвская Область","городской округ Люберцы","рабочий посёлок Малаховка","посёлок","микрорайон Малаховского Экспериментального Завода","Быковское шоссе","58","38.001539   55.621404","Россия, Московская область, городской округ Люберцы, рабочий посёлок Малаховка, микрорайон Малаховского Экспериментального Завода, Быковское шоссе, 58"
"383",2752,"09.04.2020","Москoвская Область","Орехово-Зуевский городской округ","Орехово-Зуево","город",NA,"улица Барышникова","17","38.995956   55.800514","Россия, Московская область, Орехово-Зуевский городской округ, Орехово-Зуево, улица Барышникова, 17"
"384",2753,"09.04.2020","Москoвская Область","Рошаль","Рошаль","город",NA,"улица Энгельса","21А","39.873763   55.658048","Россия, Московская область, Рошаль, улица Энгельса, 21А"
"385",2755,"09.04.2020","Москoвская Область","Чехов","Чехов","город",NA,"улица Дружбы","2","37.464544   55.148241","Россия, Московская область, Чехов, улица Дружбы, 2"
"386",2756,"09.04.2020","Москoвская Область","Электросталь","Электросталь","город",NA,"Южный проспект","3к3","38.439028   55.764607","Россия, Московская область, Электросталь, Южный проспект, 3к3"
"387",2757,"09.04.2020","Москoвская Область","Электросталь","Электросталь","город",NA,"улица Карла Маркса","46","38.463201   55.80268","Россия, Московская область, Электросталь, улица Карла Маркса, 46"
"388",2758,"09.04.2020","Москoвская Область","Балашиха","Балашиха","город","30-й микрорайон","улица Колдунова","6","37.941217   55.825659","Россия, Московская область, Балашиха, 30-й микрорайон, улица Колдунова, 6"
"389",2759,"09.04.2020","Москoвская Область","Балашиха","Балашиха","город","микрорайон Заря","Садовая улица","7к2","38.084346   55.762905","Россия, Московская область, Балашиха, микрорайон Заря, Садовая улица, 7к2"
"390",2760,"09.04.2020","Москoвская Область","Дмитровский городской округ","Дмитров","город","микрорайон имени К.А. Аверьянова",NA,"19","37.529484   56.349814","Россия, Московская область, Дмитровский городской округ, Дмитров, микрорайон имени К.А. Аверьянова, 19"
"391",2761,"09.04.2020","Москoвская Область","Дмитровский городской округ","Дмитров","город",NA,"улица Космонавтов","21","37.544297   56.337297","Россия, Московская область, Дмитровский городской округ, Дмитров, улица Космонавтов, 21"
"392",2762,"09.04.2020","Москoвская Область","Красногорск","Красногорск","город",NA,"Большая Воскресенская улица","1","37.342248   55.816515","Россия, Московская область, Красногорск, Большая Воскресенская улица, 1"
"393",2764,"09.04.2020","Москoвская Область","Луховицы","Луховицы","город",NA,"улица Тимирязева","10","39.037405   54.971631","Россия, Московская область, Луховицы, улица Тимирязева, 10"
"394",2765,"09.04.2020","Москoвская Область","Луховицы","Луховицы","город",NA,"улица Мира","31","39.034961   54.945645","Россия, Московская область, Луховицы, улица Мира, 31"
"395",2766,"09.04.2020","Москoвская Область","Луховицы","Луховицы","город",NA,"улица Пушкина","102","39.028601   54.97145","Россия, Московская область, Луховицы, улица Пушкина, 102"
"396",2767,"09.04.2020","Москoвская Область","Люберцы","Люберцы","город",NA,"Южная улица","24","37.898574   55.661994","Россия, Московская область, Люберцы, Южная улица, 24"
"397",2768,"09.04.2020","Москoвская Область","Одинцовский городской округ","посёлок Заречье","посёлок",NA,NA,NA,"37.04919   55.719647","Россия, Московская область, Одинцовский городской округ, посёлок Заречье"
"398",2769,"09.04.2020","Москoвская Область","городской округ Чехов","деревня Детково","деревня",NA,NA,NA,"37.503513   55.226256","Россия, Московская область, городской округ Чехов, деревня Детково"
