"","город","Улица","Дом","Дата","lonlat","yandex_adress","ya_street"
"2081","Москoвская Область","Коломна, ул. Полянская","17","08.04.2020","38.775106   55.099449","Россия, Московская область, Коломна, Полянская улица, 17","Коломна, Полянская улица, 17"
"2082","Москoвская Область","городской округ Красногорск, СНТ ""Истра""","84","08.04.2020","37.095382   55.76053","Россия, Московская область, городской округ Красногорск, СНТ Истра, 84","городской округ Красногорск, СНТ Истра, 84"
"2084","Москoвская Область","Лобня, ул. Жирохова","2","08.04.2020","37.472126   56.024239","Россия, Московская область, Лобня, улица Жирохова, 2","Лобня, улица Жирохова, 2"
"2085","Москoвская Область","Долгопрудный, ул. Молодёжная","14/3","08.04.2020","37.485763   55.942196","Россия, Московская область, Долгопрудный, Молодёжная улица, 14к3","Долгопрудный, Молодёжная улица, 14к3"
"2086","Москoвская Область","г. Лобня, ул. Пушкина","46","08.04.2020","37.466754   56.005636","Россия, Московская область, Лобня, улица Пушкина","Лобня, улица Пушкина"
"2087","Москoвская Область","г. Химки, ул. 9 Мая","1","08.04.2020","37.428872   55.889336","Россия, Московская область, Химки, улица 9 Мая, 1","Химки, улица 9 Мая, 1"
"2088","Москoвская Область","г. Химки, ул. Горшина","2","08.04.2020","37.429187   55.886857","Россия, Московская область, Химки, улица Горшина, 2","Химки, улица Горшина, 2"
"2089","Москoвская Область","г. Химки, мкр. Сходня, квартал Саврасово","57","08.04.2020","37.295607   55.951572","Россия, Московская область, Химки, микрорайон Сходня","Химки, микрорайон Сходня"
"2090","Москoвская Область","г. Химки, ул. Кольцевая","14","08.04.2020","37.447647   55.883444","Россия, Московская область, Химки, Кольцевая улица, 14","Химки, Кольцевая улица, 14"
"2091","Москoвская Область","г. Химки, мкр. Подрезково, квартал Первомайский","12","08.04.2020","37.34444   55.941924","Россия, Московская область, Химки, микрорайон Подрезково","Химки, микрорайон Подрезково"
"2092","Москoвская Область","г. Химки, мкр. Планерная","20","08.04.2020","37.374336   55.920557","Россия, Московская область, Химки, микрорайон Планерная, 20","Химки, микрорайон Планерная, 20"
"2093","Москoвская Область","г. Подольск, ул. Кольцевая","3","08.04.2020","37.567375   55.480255","Россия, Московская область, Подольск, Кольцевая улица, 3","Подольск, Кольцевая улица, 3"
"2094","Москoвская Область","г. Лобня, ул. Текстильная","16","08.04.2020","37.430345   56.018298","Россия, Московская область, Лобня, Текстильная улица, 16","Лобня, Текстильная улица, 16"
"2095","Москoвская Область","г. Химки, ул. Иванино","27/1","08.04.2020","37.43039   55.88874","Россия, Московская область, Химки","Химки"
"2096","Москoвская Область","г. Орехово-Зуево, Центральный бульвар","8","08.04.2020","38.97711   55.804005","Россия, Московская область, Орехово-Зуевский городской округ, Орехово-Зуево, Центральный бульвар, 8","Орехово-Зуевский городской округ, Орехово-Зуево, Центральный бульвар, 8"
"2097","Москoвская Область","г. Сергиев Посад, ул. Мира","1Б","08.04.2020","38.178013   56.298797","Россия, Московская область, Сергиев Посад, улица Мира, 1Б","Сергиев Посад, улица Мира, 1Б"
"2098","Москoвская Область","Красногорский городской округ., ул. Школьная","8","08.04.2020","37.333462   55.82091","Россия, Московская область, Красногорск, микрорайон Тёплый Бетон, Школьная улица, 8","Красногорск, микрорайон Тёплый Бетон, Школьная улица, 8"
"2099","Москoвская Область","Красногорский городской округ, посёлок Отрадное","11","08.04.2020","37.31219   55.872996","Россия, Московская область, городской округ Красногорск, посёлок Отрадное, 11","городской округ Красногорск, посёлок Отрадное, 11"
"2100","Москoвская Область","г. Пушкино, ул. 50 лет Комсомола","41","08.04.2020","37.853874   56.000945","Россия, Московская область, Пушкино, улица 50 лет Комсомола, 41","Пушкино, улица 50 лет Комсомола, 41"
"2101","Москoвская Область","Шатурский р-н, деревня Андреевские Выселки","","08.04.2020","39.524139   55.63189","Россия, Московская область, городской округ Шатура, деревня Андреевские Выселки","городской округ Шатура, деревня Андреевские Выселки"
"2102","Москoвская Область","Клинский р-н, посёлок Решетниково, ул. Лесная","16","08.04.2020","36.55562   56.438915","Россия, Московская область, городской округ Клин, рабочий посёлок Решетниково, Лесная улица, 16","городской округ Клин, рабочий посёлок Решетниково, Лесная улица, 16"
"2103","Москoвская Область","г. Долгопрудный, ул. Набережная","23/1","08.04.2020","37.522243   55.962569","Россия, Московская область, Долгопрудный, Набережная улица, 23к1","Долгопрудный, Набережная улица, 23к1"
"2104","Москoвская Область","Красногорск, ул. Вилора Трифонова","1","08.04.2020","37.284621   55.83432","Россия, Московская область, Красногорск, улица Вилора Трифонова, 1","Красногорск, улица Вилора Трифонова, 1"
"2105","Москoвская Область","Истра городской округ, деревня Вельяминово","64","08.04.2020","36.864425   55.887236","Россия, Московская область, городской округ Истра, деревня Вельяминово, 66","городской округ Истра, деревня Вельяминово, 66"
"2106","Москoвская Область","г. Красногорск, ул. Ленина","42","08.04.2020","37.296281   55.835083","Россия, Московская область, Красногорск, улица Ленина, 42","Красногорск, улица Ленина, 42"
"2107","Москoвская Область","г. Красногорск, ул. Ленина","55","08.04.2020","37.298706   55.835346","Россия, Московская область, Красногорск, улица Ленина, 55","Красногорск, улица Ленина, 55"
"2108","Москoвская Область","г. Балашиха, мкр. Ольгино, ул. Пятая","26","08.04.2020","37.987067   55.741657","Россия, Московская область, Балашиха, микрорайон Ольгино, Пятая улица, 26","Балашиха, микрорайон Ольгино, Пятая улица, 26"
"2109","Москoвская Область","г. Мытищи, Олимпийский пр-т","28/1","08.04.2020","37.760108   55.922772","Россия, Московская область, Мытищи, Олимпийский проспект, 28к1","Мытищи, Олимпийский проспект, 28к1"
"2110","Москoвская Область","Подольский р-н, поселок Быковка, ул. Московская","8","08.04.2020","37.620168   55.487346","Россия, Московская область, городской округ Подольск, коттеджный поселок Быковка, 8","городской округ Подольск, коттеджный поселок Быковка, 8"
"2111","Москoвская Область","Серпуховский р-н, посёлок Большевик, ул. Ленина","18","08.04.2020","37.363448   54.905467","Россия, Московская область, городской округ Серпухов, посёлок Большевик, улица Ленина, 18","городской округ Серпухов, посёлок Большевик, улица Ленина, 18"
"2112","Москoвская Область","г. Мытищи, ул. Академика Кадина","40/4","08.04.2020","37.78704   55.916582","Россия, Московская область, Мытищи, улица Академика Каргина, 40к4","Мытищи, улица Академика Каргина, 40к4"
"2113","Москoвская Область","г. Мытищи, Новомытищинский пр-т","42","08.04.2020","37.732395   55.908676","Россия, Московская область, Мытищи, Новомытищинский проспект, 42","Мытищи, Новомытищинский проспект, 42"
"2114","Москoвская Область","г. Химки, ул. Чапаева","5","08.04.2020","37.448141   55.888947","Россия, Московская область, Химки, улица Чапаева, 5","Химки, улица Чапаева, 5"
"2115","Москoвская Область","г. Химки, Тепличный проезд","4","08.04.2020","37.327659   55.954843","Россия, Московская область, Химки, Тепличный проезд, 4","Химки, Тепличный проезд, 4"
"2116","Москoвская Область","г. Химки, Мельникова пр-т","37","08.04.2020","37.394844   55.908454","Россия, Московская область, Химки, проспект Мельникова, 37","Химки, проспект Мельникова, 37"
"2117","Москoвская Область","г. Хотьково, 1-я улица Митино","7","08.04.2020","37.985127   56.254522","Россия, Московская область, Сергиево-Посадский городской округ, Хотьково, 1-я улица Митино, 7","Сергиево-Посадский городской округ, Хотьково, 1-я улица Митино, 7"
"2118","Москoвская Область","г. Одинцово, ул. Союзная","4","08.04.2020","37.284414   55.669625","Россия, Московская область, Одинцово, Союзная улица, 4","Одинцово, Союзная улица, 4"
"2119","Москoвская Область","г. Химки, Бабакина","4","08.04.2020","37.423141   55.881934","Россия, Московская область, Химки, улица Бабакина, 4","Химки, улица Бабакина, 4"
"2120","Москoвская Область","г. Химки, ул. Московская","16","08.04.2020","37.449237   55.893637","Россия, Московская область, Химки, Московская улица, 16","Химки, Московская улица, 16"
"2121","Москoвская Область","г. Реутов, Юбилейный пр-т","1","08.04.2020","37.850101   55.746106","Россия, Московская область, Реутов, Юбилейный проспект, 1","Реутов, Юбилейный проспект, 1"
"2122","Москoвская Область","г. Руетов, ул. Калинина","10","08.04.2020","37.85771   55.754557","Россия, Московская область, Реутов, улица Калинина, 10","Реутов, улица Калинина, 10"
"2123","Москoвская Область","деревня Никульское, ул. Московская","6","08.04.2020","37.677966   56.018484","Россия, Московская область, городской округ Мытищи, деревня Никульское, Московская улица, 6","городской округ Мытищи, деревня Никульское, Московская улица, 6"
"2124","Москoвская Область","г. Мытищи, ул. Борисовка","20А","08.04.2020","37.713432   55.91688","Россия, Московская область, Мытищи, улица Борисовка, 20А","Мытищи, улица Борисовка, 20А"
"2125","Москoвская Область","г. Мытищи, Новомытищинский пр-т","82/1","08.04.2020","37.721939   55.9014","Россия, Московская область, Мытищи, Новомытищинский проспект, 82к1","Мытищи, Новомытищинский проспект, 82к1"
"2126","Москoвская Область","г. Химки, ул. Юннатов","10","08.04.2020","37.460691   55.896625","Россия, Московская область, Химки, улица Юннатов, 10","Химки, улица Юннатов, 10"
"2127","Москoвская Область","Подольский р-н, деревня Федюково, ул. Строителей","17","08.04.2020","37.686087   55.515507","Россия, Московская область, городской округ Подольск, деревня Федюково, улица Строителей, 17","городской округ Подольск, деревня Федюково, улица Строителей, 17"
"2128","Москoвская Область","г. Химки, ул. Спортивная","13","08.04.2020","37.337927   55.937709","Россия, Московская область, Химки, Спортивная улица, 13","Химки, Спортивная улица, 13"
"2129","Москoвская Область","г. Химки, ул. Строителей","8","08.04.2020","37.411562   55.886307","Россия, Московская область, Химки, улица Строителей, 8","Химки, улица Строителей, 8"
"2130","Москoвская Область","г. Химки, ул. Совхозная","15","08.04.2020","37.474435   55.899012","Россия, Московская область, Химки, микрорайон Левобережный, Совхозная улица, 15","Химки, микрорайон Левобережный, Совхозная улица, 15"
"2131","Москoвская Область","Фирсановка, ул. Ленинградская","19","08.04.2020","37.263753   55.96404","Россия, Московская область, Химки, микрорайон Фирсановка, Ленинградская улица, 17","Химки, микрорайон Фирсановка, Ленинградская улица, 17"
"2132","Москoвская Область","г. Химки, ул. Пролетарская","5А","08.04.2020","37.441053   55.890219","Россия, Московская область, Химки, Пролетарская улица, 5А","Химки, Пролетарская улица, 5А"
"2133","Москoвская Область","г. Мытищи, ул. Борисовка","24А","08.04.2020","37.713944   55.91804","Россия, Московская область, Мытищи, улица Борисовка, 24А","Мытищи, улица Борисовка, 24А"
"2134","Москoвская Область","г. Мытищи, ул. Сукровка","5","08.04.2020","37.715938   55.90253","Россия, Московская область, Мытищи, улица Сукромка, 5","Мытищи, улица Сукромка, 5"
"2135","Москoвская Область","г. Фрязино, ул. Институтская","17","08.04.2020","38.049213   55.95445","Россия, Московская область, Фрязино, Институтская улица, 17","Фрязино, Институтская улица, 17"
"2136","Москoвская Область","г. Пушкино, ул. Горького","4А","08.04.2020","37.843741   56.006784","Россия, Московская область, Пушкино, улица Горького, 4А","Пушкино, улица Горького, 4А"
"2137","Москoвская Область","Жостово, ул. Центральная","3","08.04.2020","37.645043   55.999662","Россия, Московская область, городской округ Мытищи, деревня Жостово, Центральная улица, 3","городской округ Мытищи, деревня Жостово, Центральная улица, 3"
"2138","Москoвская Область","г. Мытищи, ул. Троицкая","11","08.04.2020","37.699094   55.903277","Россия, Московская область, Мытищи, Троицкая улица, 11","Мытищи, Троицкая улица, 11"
"2139","Москoвская Область","г. Лобня, ул. Краснополянская","31","08.04.2020","37.418982   56.023032","Россия, Московская область, Лобня, Краснополянская улица, 31","Лобня, Краснополянская улица, 31"
"2140","Москoвская Область","г. Лобня, ул. Католека","54","08.04.2020","37.474821   56.012269","Россия, Московская область, Лобня","Лобня"
"2142","Москoвская Область","Красногорск, ул. Чкалова","7","08.04.2020","37.254967   55.822635","Россия, Московская область, Красногорск, микрорайон Опалиха, улица Чкалова, 7","Красногорск, микрорайон Опалиха, улица Чкалова, 7"
"2143","Москoвская Область","г. Королёв, ул. Калининградская","17/1","08.04.2020","37.841756   55.913354","Россия, Московская область, Королёв, Калининградская улица, 17к1","Королёв, Калининградская улица, 17к1"
"2144","Москoвская Область","г. Клин, ул. 50 лет Октября","26","08.04.2020","36.728618   56.314557","Россия, Московская область, Клин, улица 50 лет Октября, 25","Клин, улица 50 лет Октября, 25"
"2145","Москoвская Область","городской округ Истра, г. Дедовск, ул. Главная","1","08.04.2020","37.122493   55.864859","Россия, Московская область, городской округ Истра, Дедовск, Главная улица, 1","городской округ Истра, Дедовск, Главная улица, 1"
"2146","Москoвская Область","г. Ивантеевка, ул. Хлебозаводная","10","08.04.2020","37.932549   55.972282","Россия, Московская область, Ивантеевка, Хлебозаводская улица, 10","Ивантеевка, Хлебозаводская улица, 10"
"2147","Москoвская Область","г. Ивантеевка, ул. Хлебозаводная","28/1","08.04.2020","37.935253   55.972378","Россия, Московская область, Ивантеевка, Хлебозаводская улица, 28к1","Ивантеевка, Хлебозаводская улица, 28к1"
"2148","Москoвская Область","г. Мытищи, ул. 3-я Крестьянская","5","08.04.2020","37.718723   55.896766","Россия, Московская область, Мытищи, 3-я Крестьянская улица, 5","Мытищи, 3-я Крестьянская улица, 5"
"2149","Москoвская Область","г. Раменское, ул. Москворецкая","3","08.04.2020","38.221097   55.564618","Россия, Московская область, Раменское, Москворецкая улица, 3","Раменское, Москворецкая улица, 3"
"2150","Москoвская Область","Истринский р-н, посёлок Глебовский","38","08.04.2020","36.707139   55.942146","Россия, Московская область, городской округ Истра, посёлок Глебовский","городской округ Истра, посёлок Глебовский"
"2151","Москoвская Область","г. Дубна, ул. Понтекорво","15","08.04.2020","37.17022   56.737589","Россия, Московская область, Дубна, улица Понтекорво, 15","Дубна, улица Понтекорво, 15"
"2152","Москoвская Область","Люберецкий р-н, 3-е Почтовое отд.","69","08.04.2020","37.866945   55.683336","Россия, Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 69","Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 69"
"2153","Москoвская Область","г. Долгопрудный, ул. Новый Бульвар","18","08.04.2020","37.496084   55.938743","Россия, Московская область, Долгопрудный, Новый бульвар, 18","Долгопрудный, Новый бульвар, 18"
"2154","Москoвская Область","г. Лобня, Текстильная","8","08.04.2020","37.427956   56.020481","Россия, Московская область, Лобня, Текстильная улица, 8","Лобня, Текстильная улица, 8"
"2156","Москoвская Область","г. Люберцы, ул. Кирова","45/2","08.04.2020","37.882773   55.681295","Россия, Московская область, Люберцы, улица Кирова, 45к2","Люберцы, улица Кирова, 45к2"
"2157","Москoвская Область","г. Котельники, ул. Кузьминская","17","08.04.2020","37.860612   55.666888","Россия, Московская область, Котельники, Кузьминская улица, 17","Котельники, Кузьминская улица, 17"
"2158","Москoвская Область","г. Дзержинский, ул. Ленина","12","08.04.2020","37.844056   55.634359","Россия, Московская область, Дзержинский, улица Ленина, 12","Дзержинский, улица Ленина, 12"
"2159","Москoвская Область","г. Люберцы, ул. Камова","11/5","08.04.2020","37.958357   55.699812","Россия, Московская область, Люберцы, улица Камова, 11/5","Люберцы, улица Камова, 11/5"
"2160","Москoвская Область","г. Люберцы, Гагарина пр-т","22/1","08.04.2020","37.914537   55.690501","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1","Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1"
"2161","Москoвская Область","г. Люберцы, ул. Кирова","12/3","08.04.2020","37.886214   55.678209","Россия, Московская область, Люберцы, улица Кирова, 12","Люберцы, улица Кирова, 12"
"2162","Москoвская Область","г. Люберцы, ул. Митрофанова","22/2","08.04.2020","37.891271   55.694784","Россия, Московская область, Люберцы, улица Митрофанова, 22к2","Люберцы, улица Митрофанова, 22к2"
"2163","Москoвская Область","г. Люберцы, ул. Весенняя","16","08.04.2020","37.904315   55.701379","Россия, Московская область, Люберцы, Весенняя улица, 16","Люберцы, Весенняя улица, 16"
"2164","Москoвская Область","г. Дзержинский, ул. Дзержинская","12","08.04.2020","37.844244   55.622655","Россия, Московская область, Дзержинский, Дзержинская улица, 12","Дзержинский, Дзержинская улица, 12"
"2165","Москoвская Область","г. Дзержинский, ул. Лесная","11","08.04.2020","37.858527   55.630589","Россия, Московская область, Дзержинский, Лесная улица, 11","Дзержинский, Лесная улица, 11"
"2166","Москoвская Область","г. Люберцы, Гагарина пр-т","22/3","08.04.2020","37.91734   55.688761","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к3","Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к3"
"2167","Москoвская Область","г. Люберцы, ул. Шевлякова","2/24","08.04.2020","37.885971   55.701227","Россия, Московская область, Люберцы, улица Шевлякова, 2/24","Люберцы, улица Шевлякова, 2/24"
"2168","Москoвская Область","городской округ Люберцы, поселок Томилино, ул. Гаршина","9А, корп. 4","08.04.2020","37.958483   55.663618","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 9Ак4","городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 9Ак4"
"2169","Москoвская Область","Люберцы, поселок Октябрьский, ул. Спортивная","2","08.04.2020","37.969218   55.610234","Россия, Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, Спортивная улица, 2","городской округ Люберцы, рабочий посёлок Октябрьский, Спортивная улица, 2"
"2170","Москoвская Область","г. Люберцы, Победы пр-т","10/18","08.04.2020","37.912202   55.688862","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Победы, 10/18","Люберцы, микрорайон Красная Горка, проспект Победы, 10/18"
"2171","Москoвская Область","г. Люберцы, Комсомольский пр-т","18/1","08.04.2020","37.908402   55.692125","Россия, Московская область, Люберцы, Комсомольский проспект, 18/1","Люберцы, Комсомольский проспект, 18/1"
"2172","Москoвская Область","п. Томилино, ул. Гаршина","20А","08.04.2020","37.94826   55.662633","Россия, Московская область, городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 20А","городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 20А"
"2173","Москoвская Область","г. Люберцы, Гагарина пр-т","22/1","08.04.2020","37.914537   55.690501","Россия, Московская область, Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1","Люберцы, микрорайон Красная Горка, проспект Гагарина, 22к1"
"2174","Москoвская Область","Ленинский городской округ, поселок Володарского, ул. Центральная","25/1","08.04.2020","37.943948   55.501253","Россия, Московская область, Ленинский городской округ, посёлок Володарского, Центральная улица, 25к1","Ленинский городской округ, посёлок Володарского, Центральная улица, 25к1"
"2175","Москoвская Область","г. Подольск, ул. 43-й Армии","17","08.04.2020","37.492356   55.421808","Россия, Московская область, Подольск, улица 43-й Армии, 17","Подольск, улица 43-й Армии, 17"
"2176","Москoвская Область","г. Раменское, ул. Красноармейская","27А","08.04.2020","38.244192   55.573083","Россия, Московская область, Раменское, Красноармейская улица, 27А","Раменское, Красноармейская улица, 27А"
"2177","Москoвская Область","г. Мытищи, ул. Герцена","1/3","08.04.2020","37.74525   55.887261","Россия, Московская область, Мытищи, улица Герцена, 1к3","Мытищи, улица Герцена, 1к3"
"2178","Москoвская Область","г. Подольск, ул. Генерала Варенникова","2","08.04.2020","37.489284   55.418962","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Генерала Варенникова, 2","Подольск, микрорайон Кузнечики, улица Генерала Варенникова, 2"
"2179","Москoвская Область","г. Подольск, Армейский пр-д","7","08.04.2020","37.477768   55.422181","Россия, Московская область, Подольск, микрорайон Кузнечики, Армейский проезд, 7","Подольск, микрорайон Кузнечики, Армейский проезд, 7"
"2180","Москoвская Область","г. Подольск, ул. Академика Доллежаля","32","08.04.2020","37.479151   55.416203","Россия, Московская область, Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 32","Подольск, микрорайон Кузнечики, улица Академика Доллежаля, 32"
"2181","Москoвская Область","г. Домодедово, ул. Северная","4","08.04.2020","37.743786   55.452605","Россия, Московская область, Домодедово, микрорайон Северный, Северная улица, 4","Домодедово, микрорайон Северный, Северная улица, 4"
"2182","Москoвская Область","г. Павловский Посад, ул. Фрунзе","25","08.04.2020","38.656115   55.76919","Россия, Московская область, Павловский Посад, улица Фрунзе, 25","Павловский Посад, улица Фрунзе, 25"
"2183","Москoвская Область","г. Подольск, ул. Пантелеевка","4","08.04.2020","37.559478   55.433593","Россия, Московская область, Подольск, улица Пантелеева, 4","Подольск, улица Пантелеева, 4"
"2184","Москoвская Область","Ленинский р-н, деревня Дрожжино, ул. Новое шоссе","8","08.04.2020","37.592213   55.525532","Россия, Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 8","Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 8"
"2185","Москoвская Область","Ленинский р-н, посёлок Мисайлово, ул. Литературный б-р","5","08.04.2020","37.812246   55.558921","Россия, Московская область, Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 5","Ленинский городской округ, деревня Мисайлово, Литературный бульвар, 5"
"2186","Москoвская Область","Подольский р-н, п. Дубровницы","19","08.04.2020","37.488062   55.442286","Россия, Московская область, городской округ Подольск, посёлок Дубровицы, 19","городской округ Подольск, посёлок Дубровицы, 19"
"2187","Москoвская Область","г. Руза, ул. Лесная","2А","08.04.2020","36.171725   55.710849","Россия, Московская область, Руза, Лесная улица, 2А","Руза, Лесная улица, 2А"
"2188","Москoвская Область","Рузский р-н, посёлок Дорохово, Спортивный пер.","24","08.04.2020","36.366614   55.556222","Россия, Московская область, Рузский городской округ, посёлок Дорохово, Спортивный переулок, 24","Рузский городской округ, посёлок Дорохово, Спортивный переулок, 24"
"2189","Москoвская Область","Ленинский городской округ, село Мисайлово, ул. Литературный б-р","5","08.04.2020","37.82555   55.563992","Россия, Московская область, Ленинский городской округ, деревня Мисайлово","Ленинский городской округ, деревня Мисайлово"
"2190","Москoвская Область","г. Сергиев Посад, ул. Чайковского","11","08.04.2020","38.148989   56.329582","Россия, Московская область, Сергиев Посад, улица Чайковского, 11","Сергиев Посад, улица Чайковского, 11"
"2191","Москoвская Область","Сергиево-Посадский городской округ, посёлок Скоропусковский","8А","08.04.2020","38.142054   56.3701","Россия, Московская область, Сергиево-Посадский городской округ, рабочий посёлок Скоропусковский, 8А","Сергиево-Посадский городской округ, рабочий посёлок Скоропусковский, 8А"
"2192","Москoвская Область","г. Сергиев Посад, ул. Владимирская","7","08.04.2020","38.133268   56.335795","Россия, Московская область, Сергиев Посад, Владимирская улица, 7","Сергиев Посад, Владимирская улица, 7"
"2193","Москoвская Область","Сергиево-Посадский район, посёлок Загорские Дали","1","08.04.2020","37.996086   56.39597","Россия, Московская область, Сергиево-Посадский городской округ, посёлок Загорские Дали, 1","Сергиево-Посадский городской округ, посёлок Загорские Дали, 1"
"2194","Москoвская Область","г. Наро-Фоминск, ул. Латышская","15","08.04.2020","36.732121   55.374304","Россия, Московская область, Наро-Фоминск, Латышская улица, 15","Наро-Фоминск, Латышская улица, 15"
"2195","Москoвская Область","Одинцовский р-н, посёлок Лесной Городок, ул. Фасадная","1А","08.04.2020","37.21422   55.633978","Россия, Московская область, Одинцовский городской округ, дачный посёлок Лесной Городок, Фасадная улица, 1А","Одинцовский городской округ, дачный посёлок Лесной Городок, Фасадная улица, 1А"
"2196","Москoвская Область","Наро-Фоминский р-н, посёлок Калининец","256","08.04.2020","36.974163   55.553075","Россия, Московская область, Наро-Фоминский городской округ, рабочий посёлок Калининец, 256","Наро-Фоминский городской округ, рабочий посёлок Калининец, 256"
"2197","Москoвская Область","г. Сергиев Посад, ул. Лесная","3","08.04.2020","38.149698   56.310557","Россия, Московская область, Сергиев Посад, посёлок Красюковка, Лесная улица, 3","Сергиев Посад, посёлок Красюковка, Лесная улица, 3"
"2198","Москoвская Область","Сергиево-Посадский городской округ, посёлок Богородское","60","08.04.2020","38.093087   56.458328","Россия, Московская область, Сергиево-Посадский городской округ","Сергиево-Посадский городской округ"
"2199","Москoвская Область","Ленинский городской округ, г. Видное, ул. Хуторская","13","08.04.2020","37.681658   55.535906","Россия, Московская область, Ленинский городской округ, Видное, Хуторская улица, 13","Ленинский городской округ, Видное, Хуторская улица, 13"
"2200","Москoвская Область","Ленинский городской округ, ЖК ""Бутово Парк""","1","08.04.2020","37.58782   55.549689","Россия, Московская область, Ленинский городской округ, рабочий посёлок Бутово, жилой комплекс Бутово Парк, 1","Ленинский городской округ, рабочий посёлок Бутово, жилой комплекс Бутово Парк, 1"
"2201","Москoвская Область","г. Подольск, ул. Пионерская","15","08.04.2020","37.536958   55.413044","Россия, Московская область, Подольск, Пионерская улица, 15к1","Подольск, Пионерская улица, 15к1"
"2202","Москoвская Область","г. Сергиев Посад, ул. Лесная","3","08.04.2020","38.149698   56.310557","Россия, Московская область, Сергиев Посад, посёлок Красюковка, Лесная улица, 3","Сергиев Посад, посёлок Красюковка, Лесная улица, 3"
"2203","Москoвская Область","Протвино, Лесной б-р","1","08.04.2020","37.213546   54.875061","Россия, Московская область, Протвино, Лесной бульвар, 1","Протвино, Лесной бульвар, 1"
"2204","Москoвская Область","г. Дмитров, ул. Сосновая","4","08.04.2020","37.525118   56.316254","Россия, Московская область, Дмитровский городской округ, Дмитров, Сосновая улица, 1","Дмитровский городской округ, Дмитров, Сосновая улица, 1"
"2205","Москoвская Область","Дмитровский городской округ, посёлок Деденёво, ул. Школьная","3","08.04.2020","37.520968   56.239373","Россия, Московская область, Дмитровский городской округ, посёлок городского типа Деденево, Школьная улица, 3","Дмитровский городской округ, посёлок городского типа Деденево, Школьная улица, 3"
"2206","Москoвская Область","Солнечногорск, дервня Ложки","43","08.04.2020","36.977631   56.185102","Россия, Московская область, Солнечногорск","Солнечногорск"
"2736","Москoвская Область","г. Балашиха, Балашихинское шоссе","16","09.04.2020","37.929809   55.823065","Россия, Московская область, Балашиха, Балашихинское шоссе, 16","Балашиха, Балашихинское шоссе, 16"
"2738","Москoвская Область","городской округ Воскресенск, посёлок Хорлово, ул. Интернатская","4","09.04.2020","38.809259   55.329001","Россия, Московская область, городской округ Воскресенск, рабочий посёлок Хорлово, Интернатская улица, 4","городской округ Воскресенск, рабочий посёлок Хорлово, Интернатская улица, 4"
"2739","Москoвская Область","г. Балашиха, микрорайон 1 Мая","25","09.04.2020","37.844747   55.805882","Россия, Московская область, Балашиха, микрорайон 1 Мая, 25","Балашиха, микрорайон 1 Мая, 25"
"2740","Москoвская Область","г. Балашиха, микрорайон Железнодорожный, ул. Пушкина","6","09.04.2020","38.028803   55.747333","Россия, Московская область, Балашиха, микрорайон Железнодорожный, улица Пушкина, 6","Балашиха, микрорайон Железнодорожный, улица Пушкина, 6"
"2741","Москoвская Область","г. Видное, Битцевский проезд","15","09.04.2020","37.708859   55.541998","Россия, Московская область, Ленинский городской округ, Видное, Битцевский проезд, 15","Ленинский городской округ, Видное, Битцевский проезд, 15"
"2742","Москoвская Область","г. Воскресенск, ул. Карла-Маркса","16А","09.04.2020","38.759421   55.250115","Россия, Московская область, Воскресенск, микрорайон Цемгигант, улица Карла Маркса, 16А","Воскресенск, микрорайон Цемгигант, улица Карла Маркса, 16А"
